,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (MHz),Memory Current Clock (MHz),Memory Allocation Used (MB),Memory Utilization (%),Current Time,Time Delta,Iteration,GPU Clock Utilization,Memory Clock Utilization
149,0.735,244.56500000000003,64.0,1391250000.0,1215000000.0,6810501120.0,0.38666666666666666,-2.2089415595e+18,577.5,4.916666666666667,0.9867021276595745,1.0
150,0.72,247.82000000000005,64.0,1380000000.0,1215000000.0,6810501120.0,0.37999999999999995,-2.2089415515384614e+18,585.3076923076923,4.6923076923076925,0.9787234042553193,1.0
151,0.7254545454545455,246.80818181818185,64.0,1384090909.090909,1215000000.0,6810501120.0,0.38272727272727275,-2.2089415444545454e+18,592.4545454545455,5.454545454545454,0.981624758220503,1.0
152,0.7400000000000001,244.11000000000004,64.0,1395000000.0,1215000000.0,6810501120.0,0.38999999999999996,-2.2089415374166664e+18,599.5,6.083333333333333,0.9893617021276596,1.0
153,0.7445454545454546,244.0436363636364,64.0909090909091,1395000000.0,1215000000.0,6810501120.0,0.39,-2.208941530272727e+18,606.5454545454545,5.818181818181818,0.9893617021276596,1.0
154,0.79,243.38,65.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089415241111112e+18,612.7777777777778,3.2222222222222223,0.9893617021276595,1.0
155,0.79,243.38000000000002,65.0,1395000000.0,1215000000.0,6810501120.0,0.38999999999999996,-2.2089415179166666e+18,619.0833333333334,4.25,0.9893617021276596,1.0
156,0.782,262.65200000000004,65.0,1381500000.0,1215000000.0,6810501120.0,0.39,-2.2089415107e+18,626.1,5.5,0.9797872340425533,1.0
157,0.78,267.47,65.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.208941507e+18,630.0,6.5,0.9787234042553192,1.0
158,0.7799999999999999,267.47,65.0,1380000000.0,1215000000.0,6810501120.0,0.38999999999999996,-2.2089415046666668e+18,631.6666666666666,10.0,0.9787234042553191,1.0
159,0.78,267.4700000000001,65.0,1380000000.0,1215000000.0,6810501120.0,0.368,-2.2089415005999997e+18,636.3,5.5,0.9787234042553192,1.0
160,0.35,258.25,64.0,1380000000.0,1215000000.0,6810501120.0,0.17,-2.208941497e+18,640.0,3.0,0.9787234042553192,1.0
161,0.35,258.25,64.0,1380000000.0,1215000000.0,6810501120.0,0.17,-2.208941494e+18,643.0,5.125,0.9787234042553192,1.0
162,0.3499999999999999,258.25,64.0,1380000000.0,1215000000.0,6810501120.0,0.17,-2.2089414903333335e+18,646.6666666666666,6.0,0.9787234042553191,1.0
163,0.35,258.25,64.0,1380000000.0,1215000000.0,6810501120.0,0.17,-2.2089414885e+18,648.5,9.5,0.9787234042553192,1.0
164,0.35,258.25,64.0,1380000000.0,1215000000.0,6810501120.0,0.17,-2.2089414865e+18,650.5,1.5,0.9787234042553192,1.0
165,0.5700000000000001,248.375,64.5,1380000000.0,1215000000.0,6810501120.0,0.28,-2.208941483e+18,654.0,7.5,0.9787234042553192,1.0
166,0.79,238.5,65.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.2089414795e+18,657.0,1.5,0.9787234042553192,1.0
167,0.79,238.5,65.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.2089414771999997e+18,659.8,6.0,0.9787234042553192,1.0
168,0.7900000000000001,238.5,65.0,1380000000.0,1215000000.0,6810501120.0,0.39,-2.208941472181818e+18,664.7272727272727,6.2727272727272725,0.9787234042553193,1.0
169,0.774,250.97200000000004,65.0,1393500000.0,1215000000.0,6810501120.0,0.39,-2.2089414658e+18,671.0,5.7,0.9882978723404255,1.0
170,0.77,254.09,65.0,1395000000.0,1215000000.0,6810501120.0,0.38999999999999996,-2.2089414616666665e+18,675.3333333333334,7.333333333333333,0.9893617021276596,1.0
171,0.77,254.09,65.0,1395000000.0,1215000000.0,6810501120.0,0.39,-2.2089414595e+18,677.5,3.5,0.9893617021276596,1.0
