GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter
3.576388392755633e-19,8.417641237328891e-17,1.991912522547441e-17,6.247362002535156e-10,3.019554650592921e-09,2.4898906531843018e-19,-1.0,1.83490034920695e-16,9.506855221249151e-18
3.6264244847998934e-19,8.265722194625036e-17,1.9919125291016497e-17,6.247362023091538e-10,3.0195546605284928e-09,2.528013389206759e-19,-1.0,1.8675371295572645e-16,4.5270739297764765e-18
3.712200635002888e-19,8.056833500139806e-17,1.9919125358552078e-17,6.247362044273152e-10,3.0195546707662607e-09,2.58043214872152e-19,-1.0,1.9015636983971718e-16,1.0864977468301133e-17
3.6539954133527177e-19,8.456412482503856e-17,1.991912543916172e-17,6.247362069555266e-10,3.0195546829859344e-09,2.5189932982316533e-19,-1.0,1.9419530491052874e-16,6.564257246996475e-18
3.6216591809843578e-19,8.678400812433761e-17,1.991912549541396e-17,6.247362087198015e-10,3.019554691513253e-09,2.489890686926746e-19,-1.0,1.97018259445549e-16,7.01696466315719e-18
3.7144090025524594e-19,8.350530269959464e-17,1.9919125566601178e-17,6.247362109524915e-10,3.0195547023045746e-09,2.5130781479813907e-19,-1.0,2.0060458608315423e-16,9.506855384059653e-18
3.802742162987302e-19,8.038272600714587e-17,1.9919125615647773e-17,6.24736212490771e-10,3.0195547097395834e-09,2.535161441991535e-19,-1.0,2.0303926905950058e-16,6.790611005334468e-19
3.802742162987302e-19,8.038272600714587e-17,1.9919125615647773e-17,6.24736212490771e-10,3.0195547097395834e-09,2.535161441991535e-19,-1.0,2.032656227596784e-16,6.790611005334468e-19
3.8027421647088313e-19,8.038272604353573e-17,1.9919125624665306e-17,6.247362127735937e-10,3.0195547111065585e-09,2.535161443139221e-19,-1.0,2.0326562285169825e-16,6.790611008408628e-19
3.802742166430361e-19,8.038272607992558e-17,1.9919125633682843e-17,6.247362130564165e-10,3.019554712473533e-09,2.5351614442869077e-19,-1.0,2.0394468404486638e-16,2.0371833034448363e-18
3.802742173061437e-19,8.038272622009393e-17,1.991912566841705e-17,6.247362141458075e-10,3.019554717738917e-09,2.5351614487076247e-19,-1.0,2.057135966547212e-16,6.3379036217690614e-18
3.671045481321122e-19,7.936866178965705e-17,1.9589883958619438e-17,6.24736215318998e-10,3.0195547234093307e-09,2.5351614534683984e-19,-1.0,2.0750461117512438e-16,2.716244414430426e-18
3.62165922357367e-19,7.898838766614173e-17,1.9466418326708473e-17,6.24736216066458e-10,3.0195547270220495e-09,2.53516145650157e-19,-1.0,2.0876278524456796e-16,3.3953055221003153e-18
3.621659226618553e-19,7.898838773255062e-17,1.946641834307472e-17,6.247362165917003e-10,3.0195547295607176e-09,2.535161458632987e-19,-1.0,2.0960352774054874e-16,6.790611049909786e-19
3.6216592342364705e-19,7.898838789869742e-17,1.946641838402103e-17,6.247362179057911e-10,3.019554735912149e-09,2.53516146396553e-19,-1.0,2.1173456547475169e-16,9.506855489870736e-18
3.6216592451454904e-19,8.598000130937651e-17,1.9466418442657005e-17,6.247362197875968e-10,3.0195547450075326e-09,2.5774141627952073e-19,-1.0,2.147643932371275e-16,3.6216592451454894e-18
3.6216592517727323e-19,8.705563426448706e-17,1.9466418478278432e-17,6.247362209307962e-10,3.019554750532989e-09,2.5804322168880716e-19,-1.0,2.165609272326471e-16,4.5270740647159145e-18
3.6216592607540245e-19,8.705563448037487e-17,1.9466418526552877e-17,6.247362224800691e-10,3.0195547580211326e-09,2.5804322232872425e-19,-1.0,2.1905606038670713e-16,5.885196298725289e-18
3.621659270339939e-19,8.574391499382003e-17,1.9466418578077167e-17,6.247362241336393e-10,3.019554766013379e-09,2.5427066127178317e-19,-1.0,2.216945906474234e-16,5.658842609906154e-18
3.621659279084217e-19,8.539872580080579e-17,1.946641862507766e-17,6.247362256420273e-10,3.0195547733039115e-09,2.535161495358952e-19,-1.0,2.2409016789333584e-16,4.753427803798033e-18
3.647528288884646e-19,8.518263920232555e-17,1.9733192715353324e-17,6.247362282025829e-10,3.0195547856799157e-09,2.455129302602542e-19,-1.0,2.2822920800485664e-16,1.290216123461856e-17
3.6669300519100856e-19,8.503203353707056e-17,1.9919126207906643e-17,6.247362310661628e-10,3.0195547995205354e-09,2.3993492932251177e-19,-1.0,2.3277245131106487e-16,6.5642575003328706e-18
2.2245105755401313e-19,8.149592059744582e-17,1.9482029461572516e-17,6.247362332148495e-10,3.0195548099058413e-09,1.3066072643698876e-19,-1.0,2.3625082842262696e-16,6.790611230596189e-18
2.621175946252385e-19,8.08874977887124e-17,1.960223116972854e-17,6.247362358943507e-10,3.0195548228567484e-09,1.6071113314673518e-19,-1.0,2.4059135693192226e-16,4.7534278818048426e-18
3.666930095852124e-19,7.976252019607224e-17,1.9919126446604117e-17,6.247362385525837e-10,3.019554835704859e-09,2.399349321977315e-19,-1.0,2.447702327181353e-16,1.0864978061784064e-17
