,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (GHz),Memory Current Clock (GHz),Memory Allocation Used (MB),Memory Utilization (%),GPU Stress,Current Time,Time Delta,Status,Iteration,Collect,GPU Clock Utilization,Memory Clock Utilization
133,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:44,185,Live,134,True,0.09782608695652174,1.0
134,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:45,186,Live,135,True,0.09782608695652174,1.0
135,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:47,187,Live,136,True,0.09782608695652174,1.0
136,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:48,188,Live,137,True,0.09782608695652174,1.0
137,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:49,190,Live,138,True,0.09782608695652174,1.0
138,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:51,191,Live,139,True,0.09782608695652174,1.0
139,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:52,192,Live,140,True,0.09782608695652174,1.0
140,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:53,194,Live,141,True,0.09782608695652174,1.0
141,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:54,195,Live,142,True,0.09782608695652174,1.0
142,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:56,196,Live,143,True,0.09782608695652174,1.0
143,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:57,197,Live,144,True,0.09782608695652174,1.0
144,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:58,199,Live,145,True,0.09782608695652174,1.0
145,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:47:59,200,Live,146,True,0.09782608695652174,1.0
146,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:01,201,Live,147,True,0.09782608695652174,1.0
147,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:02,202,Live,148,True,0.09782608695652174,1.0
148,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:03,204,Live,149,True,0.09782608695652174,1.0
149,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:05,205,Live,150,True,0.09782608695652174,1.0
150,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:06,206,Live,151,True,0.09782608695652174,1.0
151,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:07,208,Live,152,True,0.09782608695652174,1.0
152,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:09,209,Live,153,True,0.09782608695652174,1.0
153,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:10,210,Live,154,True,0.09782608695652174,1.0
154,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:11,212,Live,155,True,0.09782608695652174,1.0
155,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:12,213,Live,156,True,0.09782608695652174,1.0
156,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:14,214,Live,157,True,0.09782608695652174,1.0
157,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:15,215,Live,158,True,0.09782608695652174,1.0
158,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:16,217,Live,159,True,0.09782608695652174,1.0
159,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:18,218,Live,160,True,0.09782608695652174,1.0
160,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:19,219,Live,161,True,0.09782608695652174,1.0
161,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:20,221,Live,162,True,0.09782608695652174,1.0
162,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:22,222,Live,163,True,0.09782608695652174,1.0
163,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:23,223,Live,164,True,0.09782608695652174,1.0
164,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:24,225,Live,165,True,0.09782608695652174,1.0
165,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:26,226,Live,166,True,0.09782608695652174,1.0
166,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:27,227,Live,167,True,0.09782608695652174,1.0
167,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:28,229,Live,168,True,0.09782608695652174,1.0
168,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:29,230,Live,169,True,0.09782608695652174,1.0
169,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:31,231,Live,170,True,0.09782608695652174,1.0
170,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:32,232,Live,171,True,0.09782608695652174,1.0
171,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:33,234,Live,172,True,0.09782608695652174,1.0
172,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:35,235,Live,173,True,0.09782608695652174,1.0
173,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:36,236,Live,174,True,0.09782608695652174,1.0
174,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:37,238,Live,175,True,0.09782608695652174,1.0
175,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:39,239,Live,176,True,0.09782608695652174,1.0
176,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:40,240,Live,177,True,0.09782608695652174,1.0
177,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:41,242,Live,178,True,0.09782608695652174,1.0
