,0,1,2,3,4,5,6,7,8,9
48,3.7910593872683886e-19,8.07957118966741e-17,1.9919125594122045e-17,6.24736211815646e-10,3.0195547064764832e-09,2.5322407463495325e-19,-1.0,2.0199512112748985e-16,1.0251632087297417e-17,4.527073998664102e-19
49,3.7768731792658553e-19,8.018353497570169e-17,1.9854453185524278e-17,6.247362142415783e-10,3.0195547182018085e-09,2.5351614490962596e-19,-1.0,2.0584174401952073e-16,4.9151089319213204e-18,4.527074016243321e-19
50,3.6216592208801217e-19,7.898838760739543e-17,1.946641831223065e-17,6.247362156018209e-10,3.019554724776306e-09,2.535161454616085e-19,-1.0,2.0794360026553361e-16,3.3198542858067774e-18,4.527074026100151e-19
51,3.621659221973156e-19,7.89883876312345e-17,1.9466418318105708e-17,6.247362157903693e-10,3.0195547256876223e-09,2.535161455381209e-19,-1.0,2.0824540526345641e-16,1.3581222082399332e-18,4.527074027466444e-19
52,3.621659223066191e-19,7.898838765507361e-17,1.9466418323980774e-17,6.247362159789178e-10,3.019554726598939e-09,2.535161456146333e-19,-1.0,2.086981127291892e-16,2.7162444172996427e-18,4.527074028832738e-19
53,3.621659225252259e-19,7.898838770275176e-17,1.946641833573089e-17,6.247362163560147e-10,3.0195547284215716e-09,2.5351614576765813e-19,-1.0,2.092011210808909e-16,4.024065805835843e-18,4.527074031565323e-19
54,3.621659231771431e-19,7.898838784493486e-17,1.9466418370771436e-17,6.247362174805717e-10,3.019554733856924e-09,2.535161462240002e-19,-1.0,2.1107482710167865e-16,6.564257357585717e-18,4.527074039714287e-19
55,3.621659239325081e-19,7.898838800968e-17,1.9466418411372307e-17,6.247362187835764e-10,3.0195547401547725e-09,2.535161467527557e-19,-1.0,2.131120108640352e-16,1.561840546958941e-17,4.52707404915635e-19
56,3.62165924481758e-19,8.544218490373634e-17,1.9466418440894487e-17,6.247362197310324e-10,3.0195547447341375e-09,2.5743961131911633e-19,-1.0,2.1464367124285517e-16,4.406352081194721e-18,4.527074056021974e-19
57,3.621659248205987e-19,8.705563417875141e-17,1.9466418459107177e-17,6.247362203155327e-10,3.019554747559219e-09,2.5804322143467656e-19,-1.0,2.1548872526825618e-16,2.7162444361544895e-18,4.527074060257483e-19
58,3.621659257262559e-19,8.705563439644878e-17,1.9466418507786258e-17,6.247362218777916e-10,3.019554755110128e-09,2.580432220799574e-19,-1.0,2.1809718277217451e-16,5.518718868209615e-18,4.5270740715782e-19
59,3.6216592687345437e-19,8.591650965533742e-17,1.9466418569448172e-17,6.247362238567088e-10,3.019554764674883e-09,2.546479173328976e-19,-1.0,2.2123245173621402e-16,3.848012973030452e-18,4.52707408591818e-19
60,3.6216592758870893e-19,8.539872572541753e-17,1.9466418607893102e-17,6.247362250905227e-10,3.01955477063831e-09,2.5351614931209627e-19,-1.0,2.2323002361749043e-16,5.477759654779221e-18,4.527074094858861e-19
61,3.621659285011827e-19,8.539872594057887e-17,1.946641865693857e-17,6.247362266645401e-10,3.019554778246051e-09,2.5351614995082785e-19,-1.0,2.2574429149124196e-16,5.275782516147035e-18,4.527074106264783e-19
62,3.656065058157844e-19,8.510537176983774e-17,1.9828584639340463e-17,6.247362283627817e-10,3.0195547864542093e-09,2.426511727553993e-19,-1.0,2.2849048491250956e-16,1.4033929767569734e-17,4.527074118570882e-19
63,3.666930045250139e-19,8.503203338263376e-17,1.991912617172915e-17,6.247362299315051e-10,3.019554794036363e-09,2.3993492888673743e-19,-1.0,2.3098856810614484e-16,1.478844215779891e-17,4.527074129938443e-19
64,2.723392502422255e-19,8.271893715428104e-17,1.96332057917405e-17,6.247362328391212e-10,3.0195548080898238e-09,1.6845481182961816e-19,-1.0,2.356461229130018e-16,6.679419931575145e-18,4.527074151008124e-19
65,3.3578401945212388e-19,8.009502579475368e-17,1.982546279424442e-17,6.2473623702808e-10,3.0195548283364333e-09,2.1651903067414963e-19,-1.0,2.4237018530979435e-16,5.104666404502303e-18,4.527074181362899e-19
66,3.6669300993123166e-19,7.976252027133788e-17,1.9919126465400244e-17,6.247362391420986e-10,3.0195548385541772e-09,2.3993493242413927e-19,-1.0,2.4569940690124756e-16,1.4712991139216088e-17,4.527074196681873e-19
67,3.6367496147891123e-19,8.490074972085683e-17,1.9919126520836628e-17,6.247362408807851e-10,3.019554846957819e-09,2.4963580639749804e-19,-1.0,2.4851481659329505e-16,4.979781630209157e-18,4.527074209281051e-19
68,3.621659379994738e-19,8.695604171367369e-17,1.9919126589971063e-17,6.247362430490924e-10,3.0195548574379583e-09,2.535161565996317e-19,-1.0,2.520071318579672e-16,1.924006545622205e-17,4.527074224993424e-19
