GPU Utilization (%),Power Draw (Watts),GPU Current Clock (MHz),Memory Allocation Used (MB),Response Time,GPU Utilization (%) Weight,Power Draw (Watts) Weight,GPU Current Clock (MHz) Weight,Memory Allocation Used (MB) Weight,Linear Combination
3.685792642446253e-19,8.47020551148641e-17,6.24736194052302e-10,3.019554620620425e-09,9.237479468,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,9.482115740887034
3.620630231196904e-19,8.587972345291208e-17,6.247361967555442e-10,3.0195546336860803e-09,9.962167251,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.463959970027423
3.5763883823962976e-19,8.417641212946427e-17,6.247361984439102e-10,3.019554641846505e-09,1.250536218,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.928648051612294
3.5763883852746226e-19,8.417641219721052e-17,6.24736198946706e-10,3.019554644276682e-09,1.667456043,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.928648058798183
3.576388390809048e-19,8.41764123274727e-17,6.247361999134793e-10,3.019554648949413e-09,3.585091266,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.928648072615166
3.5763883981281403e-19,8.417641249974002e-17,6.247362011920042e-10,3.019554655128943e-09,4.476294429,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,8.928648090887673
3.683098009695808e-19,8.125558778487517e-17,6.247362032249605e-10,3.019554664954886e-09,10.135429008,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,6.447817716105822
3.7122006399783604e-19,8.056833510938397e-17,6.247362052646509e-10,3.019554674813378e-09,4.063263692,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,5.867416506607967
3.6424082629310053e-19,8.535958299387741e-17,6.247362075001286e-10,3.019554685618175e-09,10.780415712,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.02448164000452
3.621659187636793e-19,8.678400828374658e-17,6.247362098673463e-10,3.019554697059714e-09,6.28986311,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,11.260365905277464
3.791059387268389e-19,8.07957118966741e-17,6.24736211815646e-10,3.0195547064764832e-09,6.339001271,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,6.13306597534408
3.7768731792658553e-19,8.018353497570169e-17,6.247362142415781e-10,3.019554718201808e-09,9.533326504,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,5.582695043454377
3.6216592208801217e-19,7.898838760739541e-17,6.247362156018209e-10,3.019554724776306e-09,0.519888921,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.402110691895097
3.6216592219731563e-19,7.89883876312345e-17,6.247362157903693e-10,3.0195547256876223e-09,0.393149931,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.402110693223684
3.6216592230661923e-19,7.898838765507361e-17,6.247362159789176e-10,3.019554726598939e-09,0.2878666,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.4021106945523
3.621659225252259e-19,7.898838770275176e-17,6.247362163560145e-10,3.0195547284215716e-09,1.691279756,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.402110697209449
3.6216592317714313e-19,7.898838784493485e-17,6.247362174805715e-10,3.019554733856924e-09,5.604544333,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.402110705133458
3.621659239325081e-19,7.898838800968001e-17,6.247362187835764e-10,3.019554740154772e-09,2.069457,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,4.402110714314889
3.62165924481758e-19,8.544218490373633e-17,6.247362197310324e-10,3.019554744734137e-09,2.889332908,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.079885891820881
3.621659248205987e-19,8.70556341787514e-17,6.247362203155327e-10,3.019554747559219e-09,0.36020129,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,11.499329695287077
3.621659257262559e-19,8.705563439644877e-17,6.247362218777916e-10,3.019554755110128e-09,9.165751575,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,11.499329724043099
3.621659268734544e-19,8.59165096553374e-17,6.247362238567088e-10,3.019554764674883e-09,3.335696328,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.497176150202668
3.6216592758870893e-19,8.539872572541753e-17,6.247362250905225e-10,3.01955477063831e-09,4.584883413,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.041651801731726
3.621659285011827e-19,8.539872594057885e-17,6.247362266645401e-10,3.019554778246051e-09,6.045977834,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,10.041651827031544
3.656065058157845e-19,8.510537176983774e-17,6.247362283627817e-10,3.019554786454209e-09,5.618702339,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,9.812198197964678
3.666930045250139e-19,8.503203338263374e-17,6.24736229931505e-10,3.019554794036363e-09,4.736927491,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,9.756718166056325
2.723392502422255e-19,8.271893715428104e-17,6.247362328391212e-10,3.0195548080898238e-09,13.239929137,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,6.936691659533518
3.3578401945212388e-19,8.009502579475368e-17,6.2473623702808e-10,3.019554828336433e-09,6.724486555,8.32041903414823e+18,8.797573536047041e+17,-107117741463.0959,-391297416.0020825,5.156172954499319
