,GPU Util,Power Draw,GPU Clock,Mem Used,Response Time
147,3.304750027266894e-19,1.0858593719729276e-16,6.315241490462076e-10,3.083151200276878e-09,5978292987
148,3.304750036243365e-19,1.0837851607028647e-16,6.315241507615743e-10,3.083151208651435e-09,5711272742
149,3.485832240219664e-19,1.0630430216212752e-16,6.315241526112248e-10,3.0831512176815762e-09,6303211357
150,3.4858322510435045e-19,1.0630430249221247e-16,6.315241545721675e-10,3.083151227255054e-09,6293857748
151,3.44879272103402e-19,1.0790070696818862e-16,6.259682253809959e-10,3.083151236059075e-09,5802296672
152,3.4405617216284353e-19,1.0825546374907998e-16,6.247335757693738e-10,3.083151244549945e-09,6141241867
153,3.4076376964043234e-19,1.0535321033094671e-16,6.247335776741258e-10,3.083151253950174e-09,5746739977
154,3.350020642268861e-19,1.002742665219666e-16,6.247335792339227e-10,3.0831512616479997e-09,4722356675
155,3.3500206511155364e-19,1.0027426678676907e-16,6.247335808837081e-10,3.08315126978993e-09,6092149337
156,3.3907641549357694e-19,1.1112833400494162e-16,6.308451067961273e-10,3.0831512783505886e-09,4973881075
157,3.3952912148008934e-19,1.123343416054258e-16,6.315241659529661e-10,3.083151282817019e-09,780893897
158,3.3952912165941383e-19,1.123343416647559e-16,6.315241662865095e-10,3.083151284445405e-09,1159933273
159,3.3952912224862283e-19,1.1233434185969763e-16,6.315241673824383e-10,3.083151289795816e-09,5501226617
160,3.3952912278659626e-19,1.12334342037688e-16,6.31524168383069e-10,3.0831512946809744e-09,480830520
161,3.3952912309400963e-19,1.0994405711281492e-16,6.315241689548579e-10,3.083151297472494e-09,3962301055
162,3.395291236063653e-19,1.091472956019929e-16,6.315241699078393e-10,3.0831513021250262e-09,1781778245
163,3.395291237856898e-19,1.0914729565963976e-16,6.315241702413831e-10,3.083151303753412e-09,665311444
164,3.3952912401624985e-19,1.0914729573375711e-16,6.315241706702246e-10,3.083151305847051e-09,957362922
165,3.3952912443894333e-19,1.0914729586963896e-16,6.315241714564346e-10,3.08315130968539e-09,4526529075
166,3.395291248616367e-19,1.0914729600552082e-16,6.315241722426443e-10,3.083151313523729e-09,919853502
167,3.3862371418392897e-19,1.0936278392740215e-16,6.315241728430225e-10,3.083151316454824e-09,3328465900
168,3.3500207113878145e-19,1.1022473551468984e-16,6.315241746467569e-10,3.0831513252607973e-09,6565545657
169,3.3500207203218067e-19,1.1022473580864235e-16,6.315241763309353e-10,3.083151333483091e-09,5383190404
170,3.289659991884321e-19,1.1153456390832752e-16,6.269971223063923e-10,3.0831513384147743e-09,1294915669
171,3.259479627445608e-19,1.1218947795466255e-16,6.24733595260408e-10,3.0831513407410403e-09,1194311418
