Prompt,GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Clock,Mem Used,Mem Util,Time,Time Delta,Iter
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932721000000000,29,62
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932721000000000,30,63
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932721000000000,30,64
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932721000000000,30,65
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932720000000000,30,66
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932720000000000,30,67
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932720000000000,31,68
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932720000000000,31,69
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932720000000000,31,70
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932719000000000,31,71
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932719000000000,31,72
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932719000000000,32,73
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932719000000000,32,74
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932718000000000,32,75
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932718000000000,32,76
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932718000000000,32,77
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932718000000000,33,78
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932718000000000,33,79
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932717000000000,33,80
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932717000000000,33,81
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932717000000000,34,82
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932717000000000,34,83
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932717000000000,34,84
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932716000000000,34,85
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932716000000000,34,86
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932716000000000,35,87
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932716000000000,35,88
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932715000000000,35,89
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932715000000000,35,90
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932715000000000,36,91
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932715000000000,36,92
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932715000000000,36,93
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932714000000000,36,94
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932714000000000,36,95
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932714000000000,37,96
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932714000000000,37,97
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932713000000000,37,98
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932713000000000,37,99
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932713000000000,38,100
Prompt 6,0.81,190.17,36.0,1380000000.0,877000000.0,6667894784.0,0.56,-2208932713000000000,38,101
Prompt 6,0.81,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932713000000000,38,102
