GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter,Resonse Time,Eval Rate
0.07,257.68,63.0,1410000000.0,6810501120.0,0.02,-2.2089419155999997e+18,221.2,3.0,2976663065,103.82829010393206
0.07,257.68,63.0,1410000000.0,6810501120.0,0.02,-2.2089419095625e+18,227.375,8.5,8801241219,102.54641287553132
0.595,238.7425,65.25,1397812500.0,6810501120.0,0.32875000000000004,-2.2089419004375e+18,236.5625,8.5,8872012171,101.67006705279935
0.77,232.43,66.0,1395000000.0,6810501120.0,0.4,-2.2089418945e+18,242.25,2.5,2111334000,104.40727812546639
0.77,232.43,66.0,1395000000.0,6810501120.0,0.4,-2.208941893e+18,244.0,1.0,567432460,105.06488217143185
0.77,232.43000000000004,66.0,1395000000.0,6810501120.0,0.39999999999999997,-2.2089418911666668e+18,245.83333333333334,3.5,3423075772,102.72319436842866
0.7699999999999999,229.8936363636364,66.0,1381363636.3636363,6810501120.0,0.40000000000000013,-2.2089418831363643e+18,253.6818181818182,11.5,11807803053,103.34203119391054
0.77,229.64,66.0,1380000000.0,6810501120.0,0.4000000000000001,-2.208941876e+18,260.6666666666667,2.0,1249188825,104.12655607317986
0.77,229.64,66.0,1380000000.0,6810501120.0,0.4,-2.2089418745e+18,262.5,1.5,624621948,104.50766647339715
0.7666666666666666,237.60333333333332,65.66666666666667,1385000000.0,6810501120.0,0.4000000000000001,-2.2089418733333332e+18,263.6666666666667,2.0,1237828870,104.89733572219991
0.76,253.53,65.0,1395000000.0,6810501120.0,0.4,-2.208941869875e+18,267.0,4.5,4501205350,101.2259174430372
0.7599999999999999,253.53000000000003,65.0,1395000000.0,6810501120.0,0.4,-2.2089418647272727e+18,272.27272727272725,6.0,5508954572,101.26285326698942
0.76,253.53,65.0,1395000000.0,6810501120.0,0.4,-2.208941861e+18,276.0,1.0,553544872,102.80570233502871
0.7649999999999998,249.80499999999998,65.5,1395000000.0,6810501120.0,0.3941666666666666,-2.208941857833333e+18,279.0833333333333,6.5,6296272125,102.0064274731871
0.7699999999999999,246.08,66.0,1395000000.0,6810501120.0,0.39,-2.2089418515454548e+18,285.3636363636364,6.0,5618446724,101.15684938287328
0.77,246.08,66.0,1395000000.0,6810501120.0,0.39,-2.208941848e+18,289.0,1.0,461937118,102.95129313837738
0.7700000000000001,246.07999999999998,66.0,1395000000.0,6810501120.0,0.39000000000000007,-2.2089418458571428e+18,291.0,4.0,3577422123,101.95528522884297
0.7600000000000001,241.24,65.66666666666667,1400000000.0,6810501120.0,0.38999999999999996,-2.2089418433333332e+18,293.6666666666667,2.0,1094131703,104.08916534787905
0.74,231.56,65.0,1410000000.0,6810501120.0,0.39,-2.20894184e+18,296.77777777777777,5.0,4261335382,103.40319677556494
0.7400000000000001,231.55999999999997,65.0,1410000000.0,6810501120.0,0.39,-2.2089418347272727e+18,302.27272727272725,6.0,5492271684,104.05241058565517
0.74125,231.785,65.125,1406250000.0,6810501120.0,0.3875,-2.208941829625e+18,307.375,4.5,3983306043,101.74817780809416
0.75,233.36,66.0,1380000000.0,6810501120.0,0.38,-2.208941827e+18,310.0,1.0,474159790,104.46232847798649
0.75,233.36,66.0,1380000000.0,6810501120.0,0.38000000000000006,-2.2089418256666665e+18,311.3333333333333,2.0,1250077203,103.32986131335866
0.75,233.36,66.0,1380000000.0,6810501120.0,0.38,-2.2089418245e+18,312.5,1.5,505494492,104.69065015620357
0.75,233.36000000000004,66.0,1380000000.0,6810501120.0,0.38,-2.208941821e+18,315.8,5.5,4828750131,102.03692361682124
0.75,233.36000000000007,66.0,1380000000.0,6810501120.0,0.37999999999999995,-2.208941816e+18,320.85714285714283,4.0,4015747804,102.42880272294944
0.7422222222222222,242.88,64.44444444444444,1380000000.0,6810501120.0,0.38888888888888895,-2.2089418115555556e+18,325.3333333333333,5.0,4661216756,101.17897343390044
0.7400000000000001,245.6,64.0,1380000000.0,6810501120.0,0.39000000000000007,-2.2089418075e+18,329.5,3.5,2906328455,103.79793359137356
0.7400000000000001,245.6,64.0,1380000000.0,6810501120.0,0.38999999999999996,-2.2089418025e+18,334.25,6.5,5815648552,103.8018275532283
0.74,243.84799999999996,64.8,1392000000.0,6810501120.0,0.39,-2.2089417963e+18,340.7,5.5,5598028392,103.52996024418704
0.74,243.41,65.0,1395000000.0,6810501120.0,0.39,-2.2089417911111112e+18,345.77777777777777,5.0,4726510630,103.96439831090397
0.7436363636363637,243.5,65.0909090909091,1395000000.0,6810501120.0,0.39181818181818184,-2.2089417854545452e+18,351.54545454545456,6.0,5695259123,104.06698939083891
0.78,244.4,66.0,1395000000.0,6810501120.0,0.4,-2.208941779181818e+18,357.72727272727275,6.0,6045302212,100.8139228669281
0.78,244.4,66.0,1395000000.0,6810501120.0,0.4,-2.2089417735000003e+18,363.5,5.5,5297788399,104.04718069113484
0.762857142857143,244.7214285714286,65.57142857142857,1401428571.4285715,6810501120.0,0.3914285714285714,-2.208941768142857e+18,368.85714285714283,4.0,5854156767,102.39820209568863
0.7400000000000001,245.15000000000003,65.0,1410000000.0,6810501120.0,0.37999999999999995,-2.2089417627142856e+18,374.2857142857143,4.0,3777196417,101.74345027391233
0.74,245.14999999999998,65.0,1410000000.0,6810501120.0,0.38,-2.2089417581111114e+18,378.77777777777777,5.0,4744991129,104.2114504742166
0.745,243.10500000000002,65.0,1402500000.0,6810501120.0,0.38,-2.2089417528e+18,384.2,5.5,5453913289,100.96230092089023
0.75,241.06,65.0,1395000000.0,6810501120.0,0.38,-2.2089417474444447e+18,389.3333333333333,5.0,4756737557,101.08738756039463
0.75,241.05999999999997,65.0,1395000000.0,6810501120.0,0.37999999999999995,-2.2089417417500004e+18,395.1666666666667,6.5,6199442820,102.81893033222265
0.2863636363636364,260.6963636363636,63.18181818181818,1410000000.0,6810501120.0,0.11000000000000001,-2.208941735e+18,401.8181818181818,6.0,5894374101,102.89485519514199
0.24000000000000007,262.65999999999997,63.0,1410000000.0,6810501120.0,0.11000000000000003,-2.2089417283333335e+18,408.5833333333333,6.5,6747255438,103.29699800559717
0.49,245.1975,64.25,1400625000.0,6810501120.0,0.28500000000000003,-2.2089417225e+18,414.375,4.5,4457863873,101.59050285316185
0.74,234.72,65.0,1395000000.0,6810501120.0,0.39,-2.20894171775e+18,419.125,4.5,4696660815,100.93594356883317
0.74,234.72,65.0,1395000000.0,6810501120.0,0.39,-2.2089417135e+18,423.5,2.5,3630169200,103.69982758449612
0.7400000000000001,240.84083333333328,65.0,1395000000.0,6810501120.0,0.38000000000000006,-2.208941708e+18,428.6666666666667,6.5,6358091025,100.5705914423175
0.7400000000000001,249.41,65.0,1395000000.0,6810501120.0,0.37000000000000005,-2.2089417029999997e+18,434.0,3.5,3764208969,101.69369413014715
0.7400000000000001,249.40999999999997,65.0,1395000000.0,6810501120.0,0.37000000000000005,-2.2089416973846154e+18,439.53846153846155,7.0,7073141290,100.79182813983898
0.7477777777777779,248.14777777777778,64.11111111111111,1395000000.0,6810501120.0,0.39666666666666667,-2.2089416911111114e+18,445.77777777777777,5.0,4922883949,103.1547544863364
0.75,247.99,64.0,1395000000.0,6810501120.0,0.4,-2.20894168625e+18,450.75,4.5,4368223356,101.34431037746704
0.7516666666666666,245.96583333333328,64.0,1392500000.0,6810501120.0,0.4000000000000001,-2.2089416804999997e+18,456.4166666666667,6.5,6463456619,103.675623830052
0.7699999999999999,223.69999999999996,64.0,1365000000.0,6810501120.0,0.4000000000000001,-2.2089416736666668e+18,463.1666666666667,6.5,6452184059,101.07999210619485
0.77,223.7,64.0,1365000000.0,6810501120.0,0.4,-2.2089416676666668e+18,469.3333333333333,5.0,4794898785,102.21146949629869
0.7477777777777779,232.67777777777778,64.0,1385000000.0,6810501120.0,0.38666666666666666,-2.2089416624444447e+18,474.44444444444446,5.0,4368286983,103.05487498788379
0.7300000000000001,239.86000000000004,64.0,1395000000.0,6810501120.0,0.37999999999999995,-2.2089416566363638e+18,480.3636363636364,6.0,5978292987,102.29658882006628
0.7300000000000001,239.40181818181824,64.0,1395000000.0,6810501120.0,0.38181818181818183,-2.2089416506363635e+18,486.3636363636364,6.0,5711272742,104.01903858017711
0.7699999999999999,234.82000000000005,64.0,1395000000.0,6810501120.0,0.4000000000000001,-2.2089416441666665e+18,492.75,6.5,6303211357,100.85397603146674
0.7699999999999998,234.82000000000005,64.0,1395000000.0,6810501120.0,0.4000000000000001,-2.2089416373076923e+18,499.53846153846155,7.0,6293857748,103.10620840543245
0.7618181818181817,238.34636363636366,64.0,1382727272.7272727,6810501120.0,0.4,-2.2089416310000003e+18,505.90909090909093,6.0,5802296672,103.96511681600855
0.7599999999999999,239.13000000000002,64.0,1380000000.0,6810501120.0,0.4000000000000001,-2.2089416249166666e+18,512.0833333333334,6.5,6141241867,104.17311222296595
0.7527272727272728,232.7190909090909,64.0,1380000000.0,6810501120.0,0.3909090909090909,-2.208941618181818e+18,518.5454545454545,6.0,5746739977,100.5077399931433
0.74,221.5,64.0,1380000000.0,6810501120.0,0.38,-2.2089416126666665e+18,524.2222222222222,5.0,4722356675,101.35364101694317
0.7400000000000001,221.5,64.0,1380000000.0,6810501120.0,0.37999999999999995,-2.208941606833333e+18,530.0833333333334,6.5,6092149337,103.74363448822442
0.749,245.47599999999997,64.0,1393500000.0,6810501120.0,0.398,-2.2089416006999997e+18,536.1,5.5,4973881075,101.24150911344631
0.75,248.14,64.0,1395000000.0,6810501120.0,0.4,-2.2089415975e+18,539.5,1.5,780893897,104.82635962185459
0.75,248.14,64.0,1395000000.0,6810501120.0,0.4000000000000001,-2.2089415963333332e+18,540.6666666666666,2.0,1159933273,104.88693388554876
0.75,248.13999999999996,64.0,1395000000.0,6810501120.0,0.4,-2.2089415925e+18,544.5,5.5,5501226617,101.99053130511433
0.75,248.14,64.0,1395000000.0,6810501120.0,0.4,-2.208941589e+18,548.0,1.0,480830520,104.0730971571648
0.75,242.86,64.0,1395000000.0,6810501120.0,0.39125,-2.208941587e+18,550.0,4.5,3962301055,102.20727700447712
0.75,241.1,64.0,1395000000.0,6810501120.0,0.38999999999999996,-2.2089415836666668e+18,553.3333333333334,2.0,1781778245,104.27303333751226
0.75,241.1,64.0,1395000000.0,6810501120.0,0.39,-2.2089415825e+18,554.5,1.5,665311444,104.17416343510156
0.75,241.1,64.0,1395000000.0,6810501120.0,0.39,-2.208941581e+18,556.0,1.5,957362922,104.90081380310441
0.75,241.1,64.0,1395000000.0,6810501120.0,0.39,-2.20894157825e+18,558.625,4.5,4526529075,101.63534307066718
0.75,241.1,64.0,1395000000.0,6810501120.0,0.39,-2.2089415755e+18,561.5,1.5,919853502,104.18213449452821
0.748,241.57599999999996,64.0,1395000000.0,6810501120.0,0.39,-2.2089415734e+18,563.6,3.0,3328465900,102.4220328653111
0.7400000000000001,243.48,64.0,1395000000.0,6810501120.0,0.39,-2.2089415670909092e+18,569.8181818181819,6.0,6565545657,102.01968868554741
0.74,243.47999999999996,64.0,1395000000.0,6810501120.0,0.39,-2.2089415611999997e+18,575.8,5.5,5383190404,101.69668114558415
0.7266666666666666,246.3733333333333,64.0,1385000000.0,6810501120.0,0.38000000000000006,-2.2089415576666665e+18,579.3333333333334,2.0,1294915669,104.32281987868302
0.72,247.82,64.0,1380000000.0,6810501120.0,0.38,-2.208941556e+18,581.0,1.5,1194311418,104.94758406699262
0.72,247.82000000000002,64.0,1380000000.0,6810501120.0,0.38,-2.2089415524000003e+18,584.4,5.5,5424969022,101.73989132937072
0.72,247.82000000000002,64.0,1380000000.0,6810501120.0,0.38,-2.2089415469e+18,590.0,5.5,5208336849,101.17658226066956
