,0,1,2,3,4,5,6,7,8,9,10
64,3.4405611810249944e-19,1.0913822230546128e-16,2.942585220613482e-17,6.383146401638477e-10,3.083150760105164e-09,1.7655511323680893e-19,-1.0,7.469639406172685e-17,4.5270541855592035e-19,4.5270541855592035e-19,4.5270541855592035e-19
65,3.440561183620929e-19,1.0913822238780704e-16,2.942585222833689e-17,6.383146406454618e-10,3.083150762431429e-09,1.765551133700213e-19,-1.0,7.545090314958176e-17,9.054108377949811e-19,4.527054188974906e-19,4.527054188974906e-19
66,3.440561186736051e-19,1.0913822248662199e-16,2.9425852254979377e-17,6.383146412233988e-10,3.0831507652229476e-09,1.7655511352987624e-19,-1.0,7.635631405651058e-17,9.054108386147501e-19,4.527054193073751e-19,4.527054193073751e-19
67,3.440561189980969e-19,1.091382225895542e-16,2.9425852282731966e-17,6.383146418254165e-10,3.083150768130779e-09,1.765551136963918e-19,-1.0,7.729945041963821e-17,1.131763549335845e-18,4.5270541973433795e-19,4.5270541973433795e-19
68,3.45866941060645e-19,1.087434635841563e-16,2.942585231536901e-17,6.3695652627268e-10,3.0831507715503883e-09,1.7836593557315983e-19,-1.0,7.84085787849525e-17,1.358116260709339e-18,4.517422172146667e-19,4.527054202364463e-19
69,3.5311022815209445e-19,1.0716442718995358e-16,2.942585234600787e-17,6.315240618873996e-10,3.083150774760634e-09,1.8108216828312537e-19,-1.0,7.944980133422124e-17,6.790581310617201e-19,4.478894055939005e-19,4.527054207078134e-19
70,3.531102285250893e-19,1.0716442730315272e-16,2.942585237709077e-17,6.315240625544864e-10,3.083150778017405e-09,1.8108216847440471e-19,-1.0,8.04306631640481e-17,1.5844689741510413e-18,4.478894060670117e-19,4.527054211860118e-19
71,3.5311022892472646e-19,1.0716442742443751e-16,2.9425852410393875e-17,6.315240632692224e-10,3.0831507815068028e-09,1.8108216867934696e-19,-1.0,8.163787771293891e-17,9.054108433967346e-19,4.478894065739166e-19,4.527054216983673e-19
72,3.5311022919115137e-19,1.0716442750529406e-16,2.942585243259595e-17,6.315240637457131e-10,3.0831507838330687e-09,1.8108216881597513e-19,-1.0,8.224148500392202e-17,9.054108440798755e-19,4.478894069118533e-19,4.527054220399377e-19
73,3.5311022945757624e-19,1.0716442758615058e-16,2.942585245479802e-17,6.315240642222036e-10,3.0831507861593335e-09,1.8108216895260325e-19,-1.0,8.314689591073697e-17,9.054108447630161e-19,4.478894072497899e-19,4.5270542238150805e-19
74,3.5311022967071616e-19,1.0716442765083579e-16,2.9425852472559676e-17,6.315240646033962e-10,3.0831507880203455e-09,1.8108216906190572e-19,-1.0,8.375050319113139e-17,6.790581339821464e-19,4.478894075201391e-19,4.527054226547643e-19
75,3.531102302035659e-19,1.0945360823656086e-16,2.9425852516963824e-17,6.29260538439688e-10,3.083150792672876e-09,1.7907014523143795e-19,-1.0,8.515892019011923e-17,2.263527116689525e-18,4.462840698153815e-19,4.527054233379049e-19
76,3.5311023078970057e-19,1.1403196927386881e-16,2.942585256580838e-17,6.247334852433163e-10,3.083150797790659e-09,1.7655511539485029e-19,-1.0,8.691944142515705e-17,1.1317635602233992e-18,4.430733937895861e-19,4.527054240893597e-19
77,3.531102311094104e-19,1.1403196937711458e-16,2.942585259245087e-17,6.247334858089568e-10,3.083150800582177e-09,1.765551155547052e-19,-1.0,8.782485235285335e-17,4.527054244992441e-19,4.430733941907495e-19,4.527054244992441e-19
